card_id,name,variant,set,set_symbol_url,card_number,rarity,artist,subtype,national_dex_numbers,supertype,release_date,price_source,purchase_url,image_url,tcgplayer_updated_at,cardmarket_updated_at,tcgplayer_market,tcgplayer_low,tcgplayer_mid,tcgplayer_high,tcgplayer_holofoil_market,tcgplayer_reverse_holofoil_market,tcgplayer_1st_edition_normal_market,tcgplayer_1st_edition_holofoil_market,other_tcgplayer_variants_json,cardmarket_average_sell_price_usd,cardmarket_low_price_usd,cardmarket_trend_price_usd,cardmarket_reverse_holo_sell_usd,cardmarket_avg1_usd,cardmarket_avg7_usd,cardmarket_avg30_usd,cardmarket_reverse_holo_avg1_usd,cardmarket_reverse_holo_avg7_usd,cardmarket_reverse_holo_avg30_usd,eur_usd_rate_used,date
hgss4-1,Aggron,holofoil,HS—Triumphant,https://images.pokemontcg.io/hgss4/symbol.png,1,Rare Holo,Kagemaru Himeno,Stage 2,306,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-1,https://images.pokemontcg.io/hgss4/1_hires.png,2026/08/20,2026/07/01,9.75,6.14,9.88,109.71,,19.41,,,,3.0985,0.5106,4.2242,3.9109,3.7716,3.2146,3.0637,2.1933,4.1662,3.9573,1.1605,2026-08-20
xy5-1,Weedle,normal,Primal Clash,https://images.pokemontcg.io/xy5/symbol.png,1,Common,Midori Harada,Basic,13,Pokémon,2015/02/04,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy5-1,https://images.pokemontcg.io/xy5/1_hires.png,2026/08/20,2026/07/01,0.21,0.03,0.21,19.98,,0.61,,,,0.1741,0.0232,0.1393,0.5338,0.058,0.1509,0.1625,0.8356,0.6267,0.6731,1.1605,2026-08-20
pl1-1,Ampharos,holofoil,Platinum,https://images.pokemontcg.io/pl1/symbol.png,1,Rare Holo,Atsuko Nishida,Stage 2,181,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-1,https://images.pokemontcg.io/pl1/1_hires.png,2026/08/20,2026/07/01,31.29,23.98,31.29,389.5,,23.75,,,,5.7561,1.1489,6.7077,10.4445,4.642,5.4892,5.3383,15.0749,8.7038,6.8353,1.1605,2026-08-20
dp3-1,Ampharos,holofoil,Secret Wonders,https://images.pokemontcg.io/dp3/symbol.png,1,Rare Holo,Kouki Saitou,Stage 2,181,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-1,https://images.pokemontcg.io/dp3/1_hires.png,2026/08/20,2026/07/01,42.56,37.0,41.92,236.52,,27.06,,,,4.6304,0.2901,7.0326,4.7116,5.2223,2.704,4.7464,1.7408,4.0269,4.7116,1.1605,2026-08-20
det1-1,Bulbasaur,holofoil,Detective Pikachu,https://images.pokemontcg.io/det1/symbol.png,1,Common,MPC Film,Basic,1,Pokémon,2019/04/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/det1-1,https://images.pokemontcg.io/det1/1_hires.png,2026/08/20,2026/07/01,0.92,0.2,0.99,37.07,,,,,,0.9052,0.0232,0.7311,0.0,0.2437,0.6963,0.8936,2.3094,1.3346,0.94,1.1605,2026-08-20
dv1-1,Dratini,holofoil,Dragon Vault,https://images.pokemontcg.io/dv1/symbol.png,1,Rare Holo,Masakazu Fukuda,Basic,147,Pokémon,2012/10/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dv1-1,https://images.pokemontcg.io/dv1/1_hires.png,2026/08/20,2026/07/01,4.32,2.85,3.66,94.92,,,,,,1.8104,0.1741,6.4988,3.4815,46.42,9.2028,3.5395,3.4815,3.0869,2.1469,1.1605,2026-08-20
mcd19-1,Caterpie,holofoil,McDonald's Collection 2019,https://images.pokemontcg.io/mcd19/symbol.png,1,,Sekio,Basic,10,Pokémon,2019/10/15,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/mcd19-1,https://images.pokemontcg.io/mcd19/1_hires.png,2026/08/20,2026/07/01,14.7,6.2,8.97,581.88,,,,,,2.8084,0.4642,2.4835,0.0,4.642,2.9941,2.6459,0.5803,1.9845,1.5899,1.1605,2026-08-20
pl3-1,Absol G,holofoil,Supreme Victors,https://images.pokemontcg.io/pl3/symbol.png,1,Rare Holo,Yusuke Ishikawa,Basic|SP,359,Pokémon,2009/08/19,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl3-1,https://images.pokemontcg.io/pl3/1_hires.png,2026/08/20,2026/07/01,34.7,27.92,36.15,301.98,,46.32,,,,7.9958,1.1489,9.841,7.7754,4.642,6.1623,8.5645,4.6304,8.7502,12.1853,1.1605,2026-08-20
ex12-1,Aerodactyl,holofoil,Legend Maker,https://images.pokemontcg.io/ex12/symbol.png,1,Rare Holo,Hajime Kusajima,Stage 1,142,Pokémon,2006/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex12-1,https://images.pokemontcg.io/ex12/1_hires.png,2026/08/20,2026/07/01,79.57,54.99,102.96,311.2,,125.0,,,,28.9893,5.8025,40.5943,36.4397,4.6304,16.7924,92.0044,11.0248,29.0937,34.5249,1.1605,2026-08-20
ex3-1,Absol,holofoil,Dragon,https://images.pokemontcg.io/ex3/symbol.png,1,Rare Holo,Naoyo Kimura,Basic,359,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-1,https://images.pokemontcg.io/ex3/1_hires.png,2026/08/20,2026/07/01,164.66,289.99,300.0,2349.9,,101.41,,,,46.2227,2.321,48.6366,38.8768,81.177,46.2227,43.0778,37.136,30.3355,21.5621,1.1605,2026-08-20
