card_id,name,set,rarity,release_date,source,variant,price,avg1,avg7,avg30,date
hgss4-1,Aggron,HS—Triumphant,Rare Holo,2010/11/03,tcgplayer,holofoil,9.71,,,,2026-07-28
hgss4-1,Aggron,HS—Triumphant,Rare Holo,2010/11/03,tcgplayer,reverseHolofoil,13.41,,,,2026-07-28
hgss4-1,Aggron,HS—Triumphant,Rare Holo,2010/11/03,cardmarket,normal,3.64,3.25,2.77,2.64,2026-07-28
xy5-1,Weedle,Primal Clash,Common,2015/02/04,tcgplayer,normal,0.21,,,,2026-07-28
xy5-1,Weedle,Primal Clash,Common,2015/02/04,tcgplayer,reverseHolofoil,0.63,,,,2026-07-28
xy5-1,Weedle,Primal Clash,Common,2015/02/04,cardmarket,normal,0.12,0.05,0.13,0.14,2026-07-28
pl1-1,Ampharos,Platinum,Rare Holo,2009/02/11,tcgplayer,holofoil,28.96,,,,2026-07-28
pl1-1,Ampharos,Platinum,Rare Holo,2009/02/11,tcgplayer,reverseHolofoil,23.75,,,,2026-07-28
pl1-1,Ampharos,Platinum,Rare Holo,2009/02/11,cardmarket,normal,5.78,4.0,4.73,4.6,2026-07-28
dp3-1,Ampharos,Secret Wonders,Rare Holo,2007/11/01,tcgplayer,holofoil,40.07,,,,2026-07-28
dp3-1,Ampharos,Secret Wonders,Rare Holo,2007/11/01,tcgplayer,reverseHolofoil,27.06,,,,2026-07-28
dp3-1,Ampharos,Secret Wonders,Rare Holo,2007/11/01,cardmarket,normal,6.06,4.5,2.33,4.09,2026-07-28
det1-1,Bulbasaur,Detective Pikachu,Common,2019/04/05,tcgplayer,holofoil,0.96,,,,2026-07-28
det1-1,Bulbasaur,Detective Pikachu,Common,2019/04/05,cardmarket,normal,0.63,0.21,0.6,0.77,2026-07-28
dv1-1,Dratini,Dragon Vault,Rare Holo,2012/10/05,tcgplayer,holofoil,4.3,,,,2026-07-28
dv1-1,Dratini,Dragon Vault,Rare Holo,2012/10/05,cardmarket,normal,5.6,40.0,7.93,3.05,2026-07-28
mcd19-1,Caterpie,McDonald's Collection 2019,,2019/10/15,tcgplayer,holofoil,13.87,,,,2026-07-28
mcd19-1,Caterpie,McDonald's Collection 2019,,2019/10/15,cardmarket,normal,2.14,4.0,2.58,2.28,2026-07-28
pl3-1,Absol G,Supreme Victors,Rare Holo,2009/08/19,tcgplayer,holofoil,31.15,,,,2026-07-28
pl3-1,Absol G,Supreme Victors,Rare Holo,2009/08/19,tcgplayer,reverseHolofoil,42.5,,,,2026-07-28
pl3-1,Absol G,Supreme Victors,Rare Holo,2009/08/19,cardmarket,normal,8.48,4.0,5.31,7.38,2026-07-28
ex12-1,Aerodactyl,Legend Maker,Rare Holo,2006/02/01,tcgplayer,holofoil,76.31,,,,2026-07-28
ex12-1,Aerodactyl,Legend Maker,Rare Holo,2006/02/01,tcgplayer,reverseHolofoil,125.0,,,,2026-07-28
ex12-1,Aerodactyl,Legend Maker,Rare Holo,2006/02/01,cardmarket,normal,34.98,3.99,14.47,79.28,2026-07-28
ex3-1,Absol,Dragon,Rare Holo,2003/11/24,tcgplayer,holofoil,159.24,,,,2026-07-28
ex3-1,Absol,Dragon,Rare Holo,2003/11/24,tcgplayer,reverseHolofoil,101.41,,,,2026-07-28
