card_id,name,variant,set,rarity,artist,subtype,national_dex_numbers,supertype,release_date,price_source,purchase_url,tcgplayer_market,tcgplayer_low,tcgplayer_mid,tcgplayer_high,tcgplayer_holofoil_market,tcgplayer_reverse_holofoil_market,tcgplayer_1st_edition_normal_market,tcgplayer_1st_edition_holofoil_market,other_tcgplayer_variants_json,cardmarket_average_sell_price_usd,cardmarket_low_price_usd,cardmarket_trend_price_usd,cardmarket_reverse_holo_sell_usd,cardmarket_avg1_usd,cardmarket_avg7_usd,cardmarket_avg30_usd,cardmarket_reverse_holo_avg1_usd,cardmarket_reverse_holo_avg7_usd,cardmarket_reverse_holo_avg30_usd,eur_usd_rate_used,date
hgss4-1,Aggron,holofoil,HS—Triumphant,Rare Holo,Kagemaru Himeno,Stage 2,306,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-1,9.71,6.5,10.63,80.34,,13.41,,,,3.035,0.5001000165939331,4.1376,3.8307,3.6943,3.1487,3.0009,2.1484,4.0808,3.8761,1.1367,2026-07-28
xy5-1,Weedle,normal,Primal Clash,Common,Midori Harada,Basic,13,Pokémon,2015/02/04,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy5-1,0.21,0.03,0.21,1000.0,,0.63,,,,0.1705,0.022700000554323196,0.1364,0.5229,0.0568,0.1478,0.1591,0.8184,0.6138,0.6593,1.1367,2026-07-28
pl1-1,Ampharos,holofoil,Platinum,Rare Holo,Atsuko Nishida,Stage 2,181,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-1,28.96,23.99,33.75,389.5,,23.75,,,,5.638,1.1253000497817993,6.5701,10.2303,4.5468,5.3766,5.2288,14.7657,8.5252,6.6952,1.1367,2026-07-28
dp3-1,Ampharos,holofoil,Secret Wonders,Rare Holo,Kouki Saitou,Stage 2,181,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-1,40.07,39.49,45.64,237.54,,27.06,,,,4.5354,0.2842000126838684,6.8884,4.615,5.1151,2.6485,4.6491,1.705,3.9443,4.615,1.1367,2026-07-28
det1-1,Bulbasaur,holofoil,Detective Pikachu,Common,MPC Film,Basic,1,Pokémon,2019/04/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/det1-1,0.96,0.2,0.99,37.81,,,,,,0.8866,0.022700000554323196,0.7161,0.0,0.2387,0.682,0.8753,2.262,1.3072,0.9207,1.1367,2026-07-28
dv1-1,Dratini,holofoil,Dragon Vault,Rare Holo,Masakazu Fukuda,Basic,147,Pokémon,2012/10/05,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dv1-1,4.3,2.72,4.08,110.11,,,,,,1.7733,0.1704999953508377,6.3655,3.4101,45.468,9.014,3.4669,3.4101,3.0236,2.1029,1.1367,2026-07-28
mcd19-1,Caterpie,holofoil,McDonald's Collection 2019,,Sekio,Basic,10,Pokémon,2019/10/15,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/mcd19-1,13.87,10.63,12.0,581.88,,,,,,2.7508,0.4546999931335449,2.4325,0.0,4.5468,2.9327,2.5917,0.5684,1.9438,1.5573,1.1367,2026-07-28
pl3-1,Absol G,holofoil,Supreme Victors,Rare Holo,Yusuke Ishikawa,Basic|SP,359,Pokémon,2009/08/19,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl3-1,31.15,15.5,27.95,164.9,,42.5,,,,7.8319,1.1253000497817993,9.6392,7.6159,4.5468,6.0359,8.3888,4.5354,8.5707,11.9353,1.1367,2026-07-28
ex12-1,Aerodactyl,holofoil,Legend Maker,Rare Holo,Hajime Kusajima,Stage 1,142,Pokémon,2006/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex12-1,76.31,49.99,120.0,311.2,,125.0,,,,28.3948,5.683499813079834,39.7618,35.6924,4.5354,16.448,90.1176,10.7987,28.4971,33.8168,1.1367,2026-07-28
ex3-1,Absol,holofoil,Dragon,Rare Holo,Naoyo Kimura,Basic,359,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-1,159.24,139.99,289.99,2349.9,,101.41,,,,45.2748,2.273400068283081,47.6391,38.0795,79.5122,45.2748,42.1943,36.3744,29.7133,21.1199,1.1367,2026-07-28
ru1-1,Venusaur,holofoil,Pokémon Rumble,,Pokemon Rumble,Stage 2,3,Pokémon,2009/12/02,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ru1-1,279.97,199.95,279.9,279.96,,,,,,135.1877,67.06529998779297,139.564,0.0,51.1515,139.3594,93.9596,25.9622,12.606,6.1268,1.1367,2026-07-28
ecard2-H1,Ampharos,,Aquapolis,Rare Holo,Shin-ichi Yoshida,Stage 2,181,Pokémon,2003/01/15,cardmarket,https://prices.pokemontcg.io/cardmarket/ecard2-H1,,,,,,,,,,204.5378,11.366999626159668,175.9953,0.0,1021.8933,210.2213,108.6458,45.4566,20.6084,20.5743,1.1367,2026-07-28
base4-1,Alakazam,holofoil,Base Set 2,Rare Holo,Ken Sugimori,Stage 2,65,Pokémon,2000/02/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base4-1,55.62,31.76,41.54,199.98,,,,,,47.2867,14.765700340270996,39.739,0.0,44.3313,37.4997,40.6257,22.6772,25.9281,24.2117,1.1367,2026-07-28
hgss1-1,Arcanine,holofoil,HeartGold & SoulSilver,Rare Holo,Naoki Saito,Stage 1,59,Pokémon,2010/02/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss1-1,75.84,32.12,77.12,552.0,,34.56,,,,11.1738,1.7278000116348267,13.0152,17.5279,9.6961,12.6856,12.5833,34.0896,17.5279,13.97,1.1367,2026-07-28
ex11-1,Beedrill δ,holofoil,Delta Species,Rare Holo,Masakazu Fukuda,Stage 2,15,Pokémon,2005/10/31,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex11-1,44.48,49.99,67.88,96.8,,80.49,,,,19.0056,3.410099983215332,18.9033,20.9266,28.4175,19.5399,15.8456,1.705,21.5064,17.7666,1.1367,2026-07-28
ex7-1,Azumarill,normal,Team Rocket Returns,Rare Holo,Sumiyoshi Kizuki,Stage 1,184,Pokémon,2004/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex7-1,6.8,50.0,82.5,115.0,41.39,80.52,,,,195.8989,3.410099983215332,201.1845,24.5868,16.4253,239.6959,75.2154,11.367,36.0334,29.952,1.1367,2026-07-28
gym1-1,Blaine's Moltres,1stEditionHolofoil,Gym Heroes,Rare Holo,Ken Sugimori,Basic,146,Pokémon,2000/08/14,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/gym1-1,185.58,350.0,999.99,1500.0,,,,,"{""unlimitedHolofoil"": {""low"": 82.37, ""mid"": 131.25, ""high"": 879.6, ""market"": 125.0, ""directLow"": 879.6}}",110.9874,20.346900939941406,109.8166,0.0,90.9246,102.6895,108.9072,34.0896,52.6406,44.6155,1.1367,2026-07-28
base3-1,Aerodactyl,1stEditionHolofoil,Fossil,Rare Holo,Kagemaru Himeno,Stage 1,142,Pokémon,1999/10/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base3-1,82.42,74.0,107.5,1248.9,,,,,"{""unlimitedHolofoil"": {""low"": 24.0, ""mid"": 32.01, ""high"": 4320.99, ""market"": 42.59, ""directLow"": 32.01}}",35.9311,5.683499813079834,50.1398,0.0,11.3556,30.4067,26.6215,22.6203,17.7325,21.2904,1.1367,2026-07-28
sm9-1,Celebi & Venusaur-GX,holofoil,Team Up,Rare Holo GX,Mitsuhiro Arita,Basic|TAG TEAM|GX,3|251,Pokémon,2019/02/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/sm9-1,54.5,44.49,54.98,490.5,,,,,,45.0815,8.968600273132324,49.8329,0.0,51.1515,51.4357,42.9332,7.3431,7.2635,8.3661,1.1367,2026-07-28
xy2-1,Caterpie,normal,Flashfire,Common,Sumiyoshi Kizuki,Basic,10,Pokémon,2014/05/07,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy2-1,0.24,0.05,0.24,19.99,,0.8,,,,0.1478,0.022700000554323196,0.1023,0.5684,0.0909,0.1591,0.1705,0.6138,0.5229,1.1253,1.1367,2026-07-28
pop6-1,Bastiodon,normal,POP Series 6,Rare,Kazuyuki Kano,Stage 2,411,Pokémon,2007/09/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop6-1,6.34,2.37,6.22,58.37,,,,,,2.0802,1.1139999628067017,2.0006,0.0,3.3987,2.1825,1.6596,0.0,0.0,0.0,1.1367,2026-07-28
ecard2-H2,Arcanine,,Aquapolis,Rare Holo,Kyoko Umemoto,Stage 1,59,Pokémon,2003/01/15,cardmarket,https://prices.pokemontcg.io/cardmarket/ecard2-H2,,,,,,,,,,149.7375,32.964298248291016,261.4296,0.0,682.02,236.229,232.7962,11.367,64.2577,42.092,1.1367,2026-07-28
hgss4-2,Altaria,holofoil,HS—Triumphant,Rare Holo,Ryo Ueda,Stage 1,334,Pokémon,2010/11/03,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/hgss4-2,10.89,10.89,22.98,137.3,,11.09,,,,3.8761,1.0117000341415405,4.3081,4.3308,2.2734,4.3081,4.6832,10.003,4.3308,4.0353,1.1367,2026-07-28
pl1-2,Blastoise,holofoil,Platinum,Rare Holo,Kagemaru Himeno,Stage 2,9,Pokémon,2009/02/11,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl1-2,46.75,36.0,59.99,550.0,,35.0,,,,13.9132,2.1029000282287598,8.6844,12.3218,5.6835,7.7409,11.367,4.5468,12.0377,10.6736,1.1367,2026-07-28
ex3-2,Altaria,holofoil,Dragon,Rare Holo,Atsuko Nishida,Stage 1,334,Pokémon,2003/11/24,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex3-2,61.05,49.99,79.99,584.0,,25.75,,,,21.7792,2.8417999744415283,19.5853,19.3239,20.4492,21.4609,21.9951,28.4175,13.0266,11.9467,1.1367,2026-07-28
dp3-2,Blastoise,holofoil,Secret Wonders,Rare Holo,Daisuke Ito,Stage 2,9,Pokémon,2007/11/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/dp3-2,93.08,63.16,93.69,789.78,,98.02,,,,14.3565,1.1367000341415405,10.9578,9.4687,11.3102,11.8103,14.7771,10.2303,9.7415,8.5366,1.1367,2026-07-28
base3-2,Articuno,1stEditionHolofoil,Fossil,Rare Holo,Mitsuhiro Arita,Basic,144,Pokémon,1999/10/10,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/base3-2,202.49,156.2,205.0,1949.9,,,,,"{""unlimitedHolofoil"": {""low"": 35.43, ""mid"": 49.99, ""high"": 307.85, ""market"": 70.54, ""directLow"": 299.51}}",67.8837,9.093600273132324,76.2157,0.0,47.1731,93.3003,70.0207,22.734,32.3391,29.1905,1.1367,2026-07-28
pl3-2,Blaziken FB,holofoil,Supreme Victors,Rare Holo,Motofumi Fujiwara,Basic|SP,257,Pokémon,2009/08/19,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pl3-2,37.43,30.0,37.43,299.84,,36.0,,,,10.6736,1.1367000341415405,10.7873,8.2411,4.5468,9.9461,9.3664,14.7771,8.3888,14.1064,1.1367,2026-07-28
ex11-2,Crobat δ,holofoil,Delta Species,Rare Holo,Ryo Ueda,Stage 2,169,Pokémon,2005/10/31,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/ex11-2,25.55,21.0,30.74,40.0,,80.98,,,,4.9901,0.9661999940872192,5.9108,11.708,20.4492,5.5812,6.2519,159.138,30.5431,15.6183,1.1367,2026-07-28
pop6-2,Lucario,normal,POP Series 6,Rare,Kouki Saitou,Stage 1,448,Pokémon,2007/09/01,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/pop6-2,31.07,23.75,35.99,444.8,,,,,,10.5486,6.2519001960754395,11.2874,0.0,13.4017,10.7759,9.4346,0.0,0.0,0.0,1.1367,2026-07-28
xy2-2,Metapod,normal,Flashfire,Uncommon,kawayoo,Stage 1,11,Pokémon,2014/05/07,"tcgplayer,cardmarket",https://prices.pokemontcg.io/tcgplayer/xy2-2,0.3,0.05,0.3,19.98,,1.4,,,,0.2273,0.022700000554323196,0.1932,1.7846,0.0909,0.1705,0.2501,2.2734,1.6141,0.9889,1.1367,2026-07-28
